id,name,address,city,state,zip,county,phone,email,website,pastor,masses,lat,lng,ParishName,Year,Rite,MailAddress,MailCity,MailZip,ChurchAddress,ChurchCity,ChurchZip,County2,ParishPhone,ParishEmail,ParishWeb,Pastor3,ParochialVicar,BusMgr,Deacon,DRE,MinisterService,CRE,ParCouncilPres,PastoralAssoc,YouthMin,MusicMin,Other,Masses4,Convent,ConventAddress,ConventZip,ConventPhone,ConfessionTimes,Latitude,Longitude
0,,,,Ohio,,,,,,,,40.4172871,-82.907123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4172871,-82.907123
13,St. Andrew - Milford,552 Main St.,Milford,Ohio,45150-1181,Clermont,(513) 831-3353 ,standy@cinci.rr.com,http://standrew-milford.org,Rev. Michael Cordier,"Sat. 5:15 p.m.; Sun. 8:00, 9:30, 11:00 a.m.; Holyday 7:30, 11:30 a.m., 7:30 p.m.",39.1762729,-84.2903451,St. Andrew - Milford,1854,,552 Main St.,Milford,45150-1181,552 Main St.,Milford,45150-1181,Clermont,(513) 831-3353; FAX: (513) 831-6597,standy@cinci.rr.com,http://standrew-milford.org,Rev. Michael Cordier,Rev. Christopher Geiger; Weekend and holyday assistance: Rev. Rob Jack,Jon Soellner,Rev. Mr. Timothy Schutte,,,,,,Catherine Devereux,Dovile Krempasky,Pastoral Associate for Religious Education: Deacon Tim Schutte,"Sat. 5:15 p.m.; Sun. 8:00, 9:30, 11:00 a.m.; Holyday 7:30, 11:30 a.m., 7:30 p.m.",,,,,Sat. 4:15 p.m.,39.1762729,-84.2903451
14,St. Ann - Groesbeck,2900 W. Galbraith Rd.,Cincinnati,Ohio,45239-4221,Hamilton,(513) 521-8440,info@saintannparish.org,http://www.saintannparish.org,Rev. Thomas McCarthy,"Sat. 4:30 p.m.; Sun. 8, 9:45, 11:30 a.m.; Holyday; 6:15, 8:30, 7:30 p.m.",39.221295,-84.582296,St. Ann - Groesbeck,1953,,2900 W. Galbraith Rd.,Cincinnati,45239-4221,2900 W. Galbraith Rd.,Cincinnati,45239-4221,Hamilton,"(513) 521-8440, Fax: (513) 521-7221",info@saintannparish.org,http://www.saintannparish.org,Rev. Thomas McCarthy,,Tim Clifford (513) 521-8440,,,,,ncvdac_yahoo.com,,,Chris Schaljo,,"Sat. 4:30 p.m.; Sun. 8, 9:45, 11:30 a.m.; Holyday; 6:15, 8:30, 7:30 p.m.",,,,,"Mon. 5:30-6:30 p.m.; Thurs., 5:30-6:30 p.m; Sat. 3:30-4 p.m.",39.221295,-84.582296
15,St. Ann - Hamilton,3000 Pleasant Avenue,Hamilton,Ohio,45015-1794,Butler,(513) 863-4963,info@saintanncc.com,http://saintanncc.com/,Rev. Larry Tharp,"Sat. 5:15 p.m.; Sun. 9 a.m. & 11 a.m.; Holyday 6:30 eve, 7:30, 10 a.m.",39.3671841,-84.5576622,St. Ann - Hamilton,1909,,646 Clinton Ave.,Hamilton,45015-1794,3000 Pleasant Avenue,Hamilton,45015-1794,Butler,(513) 863-4963,info@saintanncc.com,http://saintanncc.com/,Rev. Larry Tharp,Weekend Associate: Rev. Robert Schmitz,Elizabeth Moran,,,,,Mark Conese (513) 863-4963,,,,,"Sat. 5:15 p.m.; Sun. 9 a.m. & 11 a.m.; Holyday 6:30 eve, 7:30, 10 a.m.",,,,,Sat. 3:30-4:30 p.m.; anytime by request,39.3671841,-84.5576622
16,St. Ann - Williamsburg,370 S. Fifth St.,Williamsburg,Ohio,45176,Clermont,(513) 732-2024 ,alleluia@fuse.net,,Rev. Martin E. Bachman,Sat. 4 p.m.; Sun. 10:30 a.m.,39.053253,-84.060944,St. Ann - Williamsburg,1947,,140 N. Sixth Street,Batavia,45103,370 S. Fifth St.,Williamsburg,45176,Clermont,(513) 732-2024 Fax: (513) 732-0049,alleluia@fuse.net,,Rev. Martin E. Bachman,Rev. Andrew Cordonnier,,,,,Cynthia Barno (513) 724-3444,,,,,,Sat. 4 p.m.; Sun. 10:30 a.m.,,,,,,39.053253,-84.060944
17,Annunciation - Cincinnati,3547 Clifton Ave.,Cincinnati,Ohio,45220-1709,Hamilton,(513) 861-1295,,http://www.annunciationbvmparish.org/,Rev. Todd O. Grogan,"5 p.m. Saturday; 9 and 11 a.m. on Sunday; 8 a.m., 7 p.m. Holy days",39.1456482,-84.5189671,Annunciation - Cincinnati,1910,,,,,3547 Clifton Ave.,Cincinnati,45220-1709,Hamilton,"(513) 861-1295, Fax: (513) 861-6789",,http://www.annunciationbvmparish.org/,Rev. Todd O. Grogan,,,,"Dr. Sandra Chakeres, (513) 861-1295",,,,,,Steve McManaman,,"5 p.m. Saturday; 9 and 11 a.m. on Sunday; 8 a.m., 7 p.m. Holy days",,,,,Sat. 4 p.m.,39.1456482,-84.5189671
18,St. Anthony - Dayton,830 Bowen St.,Dayton,Ohio,45410,Montgomery,(937) 253-9132,sjenkins@stanthonydayton.org,http://www.stanthonydayton.org,Rev. Gregory Konerman,"Sat. 4:30; Sun. 8, 10 a.m.; Mon.-Fri, 7 a.m.; see bulletin for other Mass times",39.748193,-84.154203,St. Anthony - Dayton,1913,,830 Bowen Street,Dayton,45410,830 Bowen St.,Dayton,45410,Montgomery,"(937) 253-9132, Fax: (937) 253-6658",sjenkins@stanthonydayton.org,http://www.stanthonydayton.org,Rev. Gregory Konerman,,,,,,,,Janet Gaier,,Music Director: Madelon Kinzig,Director of Administration: Bill Leibold; Admin. Assist.: Sue Jenkins,"Sat. 4:30; Sun. 8, 10 a.m.; Mon.-Fri, 7 a.m.; see bulletin for other Mass times",,,,,Sat. 3:30-4 p.m.; other times by appointment,39.748193,-84.154203
19,St. Anthony - Madisonville,6104 Desmond St.,Cincinnati,Ohio,45227,Hamilton,(513) 271-0920,office@stanthonychurch.net,http://www.stanthonychurch.net,Rev. James Weber,"Sat. 4:30 p.m. at St. Margaret-St. John parish; June-Aug: Sun. 8:30, 10:30 a.m.; Sep.-May: 8:30, 11:30 a.m.",39.162655,-84.390071,St. Anthony - Madisonville,1858,,,,,6104 Desmond St.,Cincinnati,45227,Hamilton,"(513) 271-0920, Fax: (513) 271-6630",office@stanthonychurch.net,http://www.stanthonychurch.net,Rev. James Weber,Rev. Jason Williams,Administrative Assistant: Becky Blanton,,Regional DRE: Cody Egner,,,Bob Ehrsam,Mary Anne Bressler,,Director of Music Ministry: Michelle Markert,Coord. of Outreach & Network of Care: Joy Middleton,"Sat. 4:30 p.m. at St. Margaret-St. John parish; June-Aug: Sun. 8:30, 10:30 a.m.; Sep.-May: 8:30, 11:30 a.m.",,,,,Sun. 7:30-8 a.m. and 9:30-10 .m.,39.162655,-84.390071
20,St. Anthony - St. Anthony,471 St. Anthony Rd.,Ft. Recovery,Ohio,45846-9404,Mercer,(419) 678-4802 ,,http://www.coldwatercluster.org,Rev. Richard Walling,Sun. 11 a.m.,40.5091439,-84.7854361,St. Anthony - St. Anthony,1852,,PO Box 107,Coldwater,45828,471 St. Anthony Rd.,Ft. Recovery,45846-9404,Mercer,(419) 678-4802 Fax: (419) 678-4803,,http://www.coldwatercluster.org,Rev. Richard Walling,Rev. Alexander Witt,Ellen Homan,,,,,Mitch Sudhoff,,,Julie Brackman (419) 942-1580,,Sun. 11 a.m.,,,,,,40.5091439,-84.7854361
21,St. Anthony of Padua Maronite Catholic Church - Cincinnati,2524 Victory Pkwy.,Cincinnati,Ohio,45206-2004,Hamilton,(513) 961-0120,saintanthonycincinnati@gmail.com,http://www.staparish.org,Rev. George Hajj,"Sat. 4 p.m.; First Sat. of month, Arabic Mass at 6 p.m.; Sun. 10:30 a.m.; Tues., Weds., Thurs. 6 p.m.; Fri. noon.",39.126407,-84.483965,St. Anthony of Padua Maronite Catholic Church - Cincinnati,1910,Maronite Diocese of Los Angele,2530 Victory Pkwy.,Cincinnati,45206,2524 Victory Pkwy.,Cincinnati,45206-2004,Hamilton,"(513) 961-0120, Fax: (513) 861-5075",saintanthonycincinnati@gmail.com,http://www.staparish.org,Rev. George Hajj,,Mrs. Ann Kuhlman,"(Subdeacon) Thomas Simon, Donald George and Mark Floyd",,,,,,,,,"Sat. 4 p.m.; First Sat. of month, Arabic Mass at 6 p.m.; Sun. 10:30 a.m.; Tues., Weds., Thurs. 6 p.m.; Fri. noon.",,,,,By appointment,39.126407,-84.483965
22,St. Antoninus - Cincinnati,Corner of Linneman & Julmar Drs. 45238,Cincinnati,Ohio,45238-1999,Hamilton,(513) 922-5400,,http://www.saintantoninus.org,Rev. Ronald Haft,"Sat. 4:30 p.m.; Sun. 8, 9:30, 11:30 a.m.; Holydays, Civil Holidays, Christmas, and New Year check bulletin; Mon. - Weds. - Fri. 8 a.m., Tues.-Thurs. 6:45 a.m.; Sat. 8 a.m. communion service",39.12317,-84.624936,St. Antoninus - Cincinnati,1944,,1500 Linneman Rd.,Cincinnati,45238-1999,Corner of Linneman & Julmar Drs. 45238,Cincinnati,45238-1999,Hamilton,"(513) 922-5400, Fax: (513) 451-5871",,http://www.saintantoninus.org,Rev. Ronald Haft,,,Robert Schroeder (513) 922-2500 x2031,Robert Schroeder (513) 922-2500 x2031,,,,Mrs. Julie Scott (513) 922-5400 x4); scott@saintantoninus.org,Ms. Lauren Ulmer (513) 922-2500 x2036,"Ms. Peg Delaney, Music Director, (513) 922-5400 x5",Communications & PR: Ms. Lauren Ulmer (513) 922-2500 x2036,"Sat. 4:30 p.m.; Sun. 8, 9:30, 11:30 a.m.; Holydays, Civil Holidays, Christmas, and New Year check bulletin; Mon. - Weds. - Fri. 8 a.m., Tues.-Thurs. 6:45 a.m.; Sat. 8 a.m. communion service",,,,,Thurs. 7:30-8 p.m.; Sat. 3-4 p.m.; Thurs. before First Fri. 4:30-5 p.m. and 7:30-8 p.m.,39.12317,-84.624936
23,Ascension - Kettering,2025 Woodman Dr.,Kettering,Ohio,45420-2902,Montgomery,(937) 253-5171,cgraham@ascensionkettering.org,http://www.ascensionkettering.org,Rev. Edward Pratt,"Sat. 5 p.m.; Sun. 8:30, 10:30 a.m., 12:15 p.m.; Holyday: 9 a.m., noon, 7 p.m.",39.757295,-84.119762,Ascension - Kettering,1955,,,,,2025 Woodman Dr.,Kettering,45420-2902,Montgomery,(937) 253-5171,cgraham@ascensionkettering.org,http://www.ascensionkettering.org,Rev. Edward Pratt,,Christy Shanklin (937) 253-5171 ext. 109,"Victor Hildebrand, Dan Kraus, Brian Campos, Tom Sipniewski",,,Mrs. Sue Graham (937) 254-0622,Timm Grant,Victor Hildebrand; Cathy Magness,Jeanne Fairbanks,David Timpone (937) 435-5657; Diane Larorochelle (937) 427-3827,Parish Life Director: Mr. Joe Ollier,"Sat. 5 p.m.; Sun. 8:30, 10:30 a.m., 12:15 p.m.; Holyday: 9 a.m., noon, 7 p.m.",,,,,Sat. 4-4:30 pm. or by appointment,39.757295,-84.119762
25,Assumption - Mt. Healthy,7711 Joseph St.,Cincinnati,Ohio,45231-3406,Hamilton,(513) 521-7274 ,,http://www.assumptionmthealthy.org,Rev. Jerome Gardner,"Sat.4 p.m.; Sun. 9,11 a.m.; holy day 7:00 eve; 8:30 a.m.",39.233628,-84.544746,Assumption - Mt. Healthy,1854,,,,,7711 Joseph St.,Cincinnati,45231-3406,Hamilton,(513) 521-7274 Fax: (513) 521-7264,,http://www.assumptionmthealthy.org,Rev. Jerome Gardner,,Jenni Petrey,"Richard Reder, Bob Staab",Pastoral Associate for Faith Formation: Adam Couch,,,Bob Lachmann,,,,,"Sat.4 p.m.; Sun. 9,11 a.m.; holy day 7:00 eve; 8:30 a.m.",,,,,Sat. 2:30-3 p.m.,39.233628,-84.544746
26,Holy Name Chapel of St. Columbkille Parish,740 S. State Route 133,Blanchester,Ohio,45107,Clinton,(937) 382-2236,parishoffice@stcolumbkille.org,http://www.stcolumbkille.org,Rev. Michael Holloran,6:15 p.m. Saturday; Holyday: call parish office or visit website,39.2863026,-83.993698,Holy Name Chapel of St. Columbkille Parish,,,73 North Mulberry,Wilmington,45177,740 S. State Route 133,Blanchester,45107,Clinton,(937) 382-2236,parishoffice@stcolumbkille.org,http://www.stcolumbkille.org,Rev. Michael Holloran,,,Robert G. Baker (937) 382-2236 ext. 18; Robert E. Meyer (937) 382-2236,,,,Peter Reed (937) 383-0378,,,,,6:15 p.m. Saturday; Holyday: call parish office or visit website,,,,,Call parish office to make appointment,39.2863026,-83.993698
27,St. Augustine - Germantown,6931 Weaver Rd.,Germantown,Ohio,45327-9378,Montgomery,(937) 855-2289,,,"Rev. Francis Tandoh, CSSp",Sat. 5 p.m.; Sun. 10:30 a.m.; Holyday see bulletin,39.6463674,-84.3567448,St. Augustine - Germantown,1941,,6891 Weaver Rd.,Germantown,45327-9378,6931 Weaver Rd.,Germantown,45327-9378,Montgomery,(937) 855-2289,,,"Rev. Francis Tandoh, CSSp",,,,,,,,,,Toni Borden (937) 859-6351,"Sacramental Minister: Rev. Joshua Otusafo, CSSP",Sat. 5 p.m.; Sun. 10:30 a.m.; Holyday see bulletin,,,,,,39.6463674,-84.3567448
28,St. Augustine - Jamestown,44 E. Washington St.,Jamestown,Ohio,45368-0806,Greene,937-675-2601or372-7766 ,,,Rev. John Krumm,"Sun. 10:45 a.m., Tues. 6 p.m.",39.657478,-83.73071,St. Augustine - Jamestown,1870,,PO Box 189,Jamestown,45335,44 E. Washington St.,Jamestown,45368-0806,Greene,937-675-2601or372-7766 Fax: 937-372-7766,,,Rev. John Krumm,,,,Lillian Chambers and Paula Breining,,,,,,,,"Sun. 10:45 a.m., Tues. 6 p.m.",,,,,,39.657478,-83.73071
29,St. Augustine - Minster,48 N. Hanover,Minster,Ohio,45865-0093,Auglaize,(419) 628-2614,info@staugie.com,http://www.staugie.com,"Rev. Richard Nieberding, CPPS","Sat. 5 p.m.; Sun. 8, 10, 11:30 a.m.; Holyday 6:30 eve; 6:30 p.m.",40.394136,-84.379914,St. Augustine - Minster,1832,,PO Box 93,Minster,45865-0093,48 N. Hanover,Minster,45865-0093,Auglaize,"(419) 628-2614, Fax: (419) 628-1078",info@staugie.com,http://www.staugie.com,"Rev. Richard Nieberding, CPPS",,,"Hal Belcher, John Schmiesing, Roger Klosterman",,,"Barb Blanco, grades 7-12, barb@staugie.com; Therese Brown, grades K-6, therese@staugie.com",Nancy Niekamp,,"Alex Clune, alex@staugie.com, 419-628-3434",Music Director: Amy Noykos,,"Sat. 5 p.m.; Sun. 8, 10, 11:30 a.m.; Holyday 6:30 eve; 6:30 p.m.",Society of the Precious Blood,56 E. Fifth,45865,(419) 628-2913,,40.394136,-84.379914
30,St. Augustine - Waynesville,5715 Lytle Rd.,Waynesville,Ohio,45068,Warren,(513) 897-0545 ,,,Rev. James Manning,"Sat. 5:30 p.m.; Sun. 9 a.m.; Holyday 8:30 a.m., 7:00 p.m.",39.544865,-84.09164,St. Augustine - Waynesville,1876,,,,,5715 Lytle Rd.,Waynesville,45068,Warren,(513) 897-0545 Fax: STAR 51,,,Rev. James Manning,,,,Ann Muth (937) 477-3552,,,Joe Cella (937) 477-3552,,,Cindy Ballard (937) 885=0081,,"Sat. 5:30 p.m.; Sun. 9 a.m.; Holyday 8:30 a.m., 7:00 p.m.",,,,,,39.544865,-84.09164
31,St. Barbara Byzantine Catholic Church - Dayton,1114 Troy Street,Dayton,Ohio,45404,Montgomery,(937) 223-8306 ,revfrjohn@att.net,http://www.stbarbarabyzantinecatholic.com,"Served by: Rev. Hiero Monk John Kapitan Jr., OFM",Sunday Vigil Divine Liturgy: 4 p.m. Sat from Labor Day to Memorial Day; 5 p.m. during the summer; Thurs 6 p.m.,39.783748,-84.173347,St. Barbara Byzantine Catholic Church - Dayton,1975,Byzantine Eparchy of Parma,,,,1114 Troy Street,Dayton,45404,Montgomery,(937) 223-8306 Fax: (937) 223-5574,revfrjohn@att.net,http://www.stbarbarabyzantinecatholic.com,"Served by: Rev. Hiero Monk John Kapitan Jr., OFM",,,,,,,,,,,,Sunday Vigil Divine Liturgy: 4 p.m. Sat from Labor Day to Memorial Day; 5 p.m. during the summer; Thurs 6 p.m.,,,,,,39.783748,-84.173347
32,St. Bartholomew - Cincinnati,9375 Winton Rd.,Cincinnati,Ohio,45231-3994,Hamilton,(513) 522-3680,EmailStBarts@gmail.com,http://www.estbarts.org,Rev. Gerard Hiland,Mon.-Tues. 8 a.m.; Sat. 5 p.m.; Sun. 11:15 a.m.; Holydays: Consult bulletin,39.237384,-84.510155,St. Bartholomew - Cincinnati,1961,,,,45231-3994,9375 Winton Rd.,Cincinnati,45231-3994,Hamilton,"(513) 522-3680, Fax: (513) 728-3141",EmailStBarts@gmail.com,http://www.estbarts.org,Rev. Gerard Hiland,,"Kathy Rothschild, ext. 151","Conrad Kolis, ext. 103; Gerry Flamm, ext. 104","Amy Staubach, ext. 110",,,Barb DeBurger (513) 349-8327,"Sandy Hornbach, ext. 109","Amy Staubach, ext. 110",,,Mon.-Tues. 8 a.m.; Sat. 5 p.m.; Sun. 11:15 a.m.; Holydays: Consult bulletin,,,,,4-4:30 p.m. Saturday,39.237384,-84.510155
33,St. Benignus - Greenfield,"204 S. Second St., PO Box 399",Greenfield,Ohio,45123-0399,Highland,(937) 981-2785 ,stbenignus@gmail.com,http://www.stbenignus.org,Rev. Mike Paraniuk,Sat. 3:30 p.m.; Sun. 12 Noon; Hispanic Sun. 2:00 p.m.; Holydays as announced,39.3508211,-83.3805976,St. Benignus - Greenfield,1856,,,,,"204 S. Second St., PO Box 399",Greenfield,45123-0399,Highland,(937) 981-2785 Fax: (937) 981-4483,stbenignus@gmail.com,http://www.stbenignus.org,Rev. Mike Paraniuk,,Patrick L. Hays (937) 763-4297,,Katie A. Paugh (937) 981-2785,,,Sue A. Smith (740) 335-8063,,,Kristy Bockrath (937) 361-6590,Sacristan/Custodian: Tom Dean (937) 981-2785,Sat. 3:30 p.m.; Sun. 12 Noon; Hispanic Sun. 2:00 p.m.; Holydays as announced,,,,,"30 minutes before weekend Masses, or by appointment",39.3508211,-83.3805976
